Study_ID,PFAS_focus,PFAS_focus_comments,PFAS_one_many,Year_sampling_start,Year_sampling_end,Year_sampling_comments,Species_one_many,Species_comment,Habitat,Habitat_comments,Sex,Sex_Comments,Developmental_stage,Developmental_stage_comments,Functional_aspects,Functional_aspects_comments,Biogeographical_region,Biogeographical_region_comments,Tissue_one_many,Tissue_one_many_comments,Study_comment,Checked,
P_0001,Yes,,Multiple,2008,2009,,One,,Estuarine,,Mixed,,Juvenile/adult,,Yes,,Subtropical,,One,,,CV,
P_0002,No,,Multiple,2005,2005,,One,,Terrestrial Coastal,,Mixed,,Juvenile/adult,,Yes,,Polar,,One,,,CV,
P_0003,No,,Multiple,1993,1993,,One,,Terrestrial Inland,,Unknown,,Eggs/early development,,No,,Temperate,,One,,,CV,
P_0004,Yes,,Multiple,2012,2013,,Multiple,,Marine,,Unknown,,Mixed,,No,,Polar,,One,,,CV,
P_0005,No,,Multiple,2003,2004,,Multiple,,Terrestrial Coastal,,Mixed,,Mixed,,No,,Polar,,Multiple,,,CV,
P_0006,Yes,,Multiple,1968,2003,,One,,Terrestrial Coastal,,Unknown,,Eggs/early development,,No,,Temperate,,One,,,CV,
P_0007,Yes,,Multiple,1992,2005,,Multiple,,Marine,,Mixed,,Mixed,,Yes,,Mixed,,Multiple,,,CV,
P_0008,No,,Multiple,2008,2008,,Multiple,,Terrestrial Inland,,Mixed,,Juvenile/adult,,Yes,PFAS levels in relation to disease status *(white-nose syndrome),Temperate,,One,,,CV,
P_0009,Yes,,Multiple,1999,2003,,Multiple,,Marine,,Mixed,,Mixed,,Yes,,Polar,,Multiple,,,CV,
P_0010,Yes,,Multiple,2012,2015,,Multiple,,Terrestrial Inland,,Male,,Juvenile/adult,,No,,Subtropical,,One,,,CV,
P_0118,Yes,,Multiple,2006,2008,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Temperate,,One,,Is bioaccumulation a functional aspect? I said no.,CV,
P_0119,Yes,,Multiple,2006,2007,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0129,No,,Multiple,2012,2017,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,"""The herring was sampled from commercial catches in fishery areas"" (does this still count as wildlife exposure), sample preparation not known, but most likely whole fish/muscle? --> Agreed",CV,
P_0130,No,,Multiple,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Temperatr,,Multiple,,"Year of sampling unknown, for some fish muscle only, for some fish whole fish homogenised",CV,
P_0132,No,,One,2015,2015,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,,Temperate,,Multiple,,Not sure if functional aspect,CV,
P_0136,Yes,,Multiple,2001,2001,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Temperate,,One,,"6:2 FTUCA? -> Is this ok nomenclature, is it considered PFAS, NOT ON OUR LIST",CV,
P_0137,Yes,,Multiple,1979,2004,,One,,Freshwater,,Mixed,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0142,No,,Multiple,2007,2007,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,No,,Polar,,One,,"C4-14 nomenclature - used internet, Confused whether sample location should be lake or country (especially if multiple lakes sampled.), appendix missing --> Country, not lake!",CV,
P_0143,No,,Multiple,2015,2015,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Subtropical,,One,,Tissue -> multiple tissues but only one investigated for PFAS --> one tissue (we only care about PFAs here),CV,
P_0144,Yes,,Multiple,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Unknown,,No,,Temperate,,One,Exclude!,Excluded,CV,
P_0354,Yes,,Multiple,2011,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Subtropical,,One,,"Muscle tissues, short chain PFAAs have lower absorption potentials, longer PFAAs could transport to farther distance in horizontal direction along the water flow and infiltrate into deeper depths in vertical direction",CV,
P_0349,No,,Multiple,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0352,Yes,,Multiple,2014,2014,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,,Mixed,,Multiple,,,CV,
P_0063,Yes,,Multiple,2008,2008,,One,,Marine,,Mixed,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0064,Yes,,Multiple,2009,2013,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0066,No,,Multiple,2008,2008,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0067,Yes,,Multiple,2003,2009,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0068,Yes,,Multiple,2011,2011,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Temperate,,Multiple,,,CV,
