Study_ID,title,year,journal,authors,Bird,Fish,Marine_Mammals,Other,Reason_for_Exclusion,Filename_article,Filename_suppl_files,Filename_suppl_files_2,Extracted_N_Partially_Fully,Assigned_to,Assigned_to_2,,Date_data_extraction,Extraction_time_in_min,Extraction_comments,Checked_name,Date_data_checked,Checking_comments
P_XXXX,Text,Year,Text,Names,NA / Bird,NA / Fish,NA / Marine Mammals,NA / Other,Text / NA (if included),Text,Text / NA (if suppl not present),Text / NA (if suppl not present),N (not extracted yet) / in Progress / Partially / Fully,Name,,,Date,Time in min,Text,Losia / Cat,Date,Text
P_0354,"Occurrence and transport of perfluoroalkyl acids (PFAAs), including short-chain PFAAs in Tangxun Lake, China",2013,Environmental Science and Technology,"Zhou, Z.; Liang, Y.; Shi, Y.; Xu, L.; Cai, Y.",NA,Fish,NA,NA,NA,P_0354_Zhou_2013,P_0354_Zhou_2013_Suppl,NA,Fully,Maegan,,,29/09/2021,20,,Cat,,
P_0349,Risk characterisation from the presence of environmental contaminants and antibiotic residues in wild and farmed salmon from different FAO zones,2019,Food Additives and Contaminants - Part A Chemistry,"Chiesa, L.M.; Nobile, M.; Ceriani, F.; Malandra, R.; Arioli, F.; Panseri, S.",NA,Fish,NA,NA,NA,P_0349_Chiesa_2019,P_0349_Chiesa_2019_Suppl,NA,Fully,Maegan,,,29/09/2021,35,could not find sampling years,Cat,,
P_0352,Tissue Distribution and Whole Body Burden of the Chlorinated Polyfluoroalkyl Ether Sulfonic Acid F-53B in Crucian Carp (Carassius carassius): Evidence for a Highly Bioaccumulative Contaminant of Emerging Concern,2015,Environmental Science and Technology,"Shi, Y.; Vestergren, R.; Zhou, Z.; Song, X.; Xu, L.; Liang, Y.; Cai, Y.",NA,Fish,NA,NA,NA,P_0352_Shi_2015,P_0352_Shi_2015_Suppl,NA,Fully,Maegan,,,30/09/2021,11,,Cat,,
P_0063,Spatial distribution of polyfluoroalkyl compounds in dab (Limanda limanda) bile fluids from Iceland and the North Sea,2010,Marine Pollution Bulletin,"Ahrens, L. and Ebinghaus, R.",NA,Fish,NA,NA,NA,P_0063_Ahrens_2010,P_0063_Ahrens_2010_Suppl,NA,Fully,Maegan,,,30/09/2021,26,,Cat,,
P_0064,"Stockholm Arlanda Airport as a source of per- and polyfluoroalkyl substances to water, sediment and fish",2015,Chemosphere,"Ahrens, L. and Norström, K. and Viktor, T. and Cousins, A.P. and Josefsson, S.",NA,Fish,NA,NA,NA,P_0064_Ahrens_2015,P_0064_Ahrens_2015_Suppl,NA,Fully,Maegan,,,30/09/2021,8,,Cat,,
P_0066,Distribution of perfluoroalkyl compounds and mercury in fish liver from high-mountain lakes in France originating from atmospheric deposition,2010,ENVIRONMENTAL CHEMISTRY,"Ahrens, Lutz and Marusczak, Nicolas and Rubarth, Janne and Dommergue, Aurelien and Nedjai, Rachid and Ferrari, Christophe and Ebinghaus, Ralf",NA,Fish,NA,NA,NA,P_0066_Ahrens_2010,P_0066_Ahrens_2010_Suppl_1,P_0066_Ahrens_2010_Suppl_2,Fully,Maegan,,,30/09/2021,9,,Cat,,
P_0067,Long-Term Environmental Fate of Perfluorinated Compounds after Accidental Release at Toronto Airport,2011,ENVIRONMENTAL SCIENCE \& TECHNOLOGY,"Awad, Emily and Zhang, Xianming and Bhavsar, Satyendra P. and Petro, Steve and Crozier, Patrick W. and Reiner, Eric J. and Fletcher, Rachael and Tittemier, Sheryl A. and Braekevelt, Eric",NA,Fish,NA,NA,NA,P_0067_Awad_2011,P_0067_Awad_2011_Suppl,NA,Fully,Maegan,,,30/09/2021,10,paper just mentioned fish - no species,Cat,,
P_0068,"Per- and poly-fluoroalkyl compounds in freshwater fish from the Rhône River: Influence of fish size, diet, prey contamination and biotransformation",2017,Science of the Total Environment,"Babut, M. and Labadie, P. and Simonnet-Laprade, C. and Munoz, G. and Roger, M.-C. and Ferrari, B.J.D. and Budzinski, H. and Sivade, E.",NA,Fish,NA,NA,NA,P_0068_Babut_2017,P_0068_Babut_2017_Suppl,NA,Fully,Maegan,,,30/09/2021,17,,Cat,,
P_0069,Size and age-concentration relationships for perfluoroalkyl substances in stingray livers from eastern Australia,2014,Science of the Total Environment,"Baduel, C. and Lai, F.Y. and Townsend, K. and Mueller, J.F.",NA,Fish,NA,NA,NA,P_0069_Baduel_2014,NA,NA,Fully,Maegan,,,30/09/2021,10,,Cat,,
P_0074,"Perfluorooctanoic acid and perfluorooctane sulfonate in two fish species collected from the roter main river, Bayreuth, Germany",2010,Bulletin of Environmental Contamination and Toxicology,"Becker, A.M. and Gerstmann, S. and Frank, H.",NA,Fish,NA,NA,NA,P_0074_Becker_2010,NA,NA,Fully,Maegan,,,30/09/2021,12,,Cat,,
