Study_ID,Year,Bird,Fish,Marine_Mammals,Other
P_0354,2013,NA,Fish,NA,NA
P_0349,2019,NA,Fish,NA,NA
P_0352,2015,NA,Fish,NA,NA
P_0063,2010,NA,Fish,NA,NA
P_0064,2015,NA,Fish,NA,NA
P_0066,2010,NA,Fish,NA,NA
P_0067,2011,NA,Fish,NA,NA
P_0068,2017,NA,Fish,NA,NA
P_0069,2014,NA,Fish,NA,NA
P_0074,2010,NA,Fish,NA,NA
P_0089,2013,NA,Fish,NA,NA
P_0101,2016,NA,Fish,NA,NA
P_0102,2016,NA,Fish,NA,NA
P_0106,2016,NA,Fish,NA,NA
P_0108,2021,NA,Fish,NA,NA
P_0110,2016,NA,Fish,NA,NA
P_0111,2016,NA,Fish,NA,NA
P_0113,2016,NA,Fish,NA,NA
P_0114,2015,NA,Fish,NA,NA
P_0118,2011,NA,Fish,NA,NA
P_0119,2009,NA,Fish,NA,NA
P_0129,2019,NA,Fish,NA,NA
P_0130,2018,NA,Fish,NA,NA
P_0132,2018,NA,Fish,NA,NA
P_0136,2007,NA,Fish,NA,NA
P_0137,2008,NA,Fish,NA,NA
P_0142,2012,NA,Fish,NA,NA
P_0143,2020,NA,Fish,NA,NA
P_0144,2018,NA,Fish,NA,NA
P_0145,2018,NA,Fish,NA,NA
P_0150,2012,NA,Fish,NA,NA
P_0151,2015,NA,Fish,NA,NA
P_0163,2012,NA,Fish,NA,NA
P_0165,2014,NA,Fish,NA,NA
P_0167,2014,NA,Fish,NA,NA
P_0169,2008,NA,Fish,NA,NA
P_0172,2013,NA,Fish,NA,NA
P_0173,2005,NA,Fish,NA,NA
P_0174,2003,NA,Fish,NA,NA
P_0178,2013,NA,Fish,NA,NA
P_0179,2014,NA,Fish,NA,NA
P_0181,2012,NA,Fish,NA,NA
P_0187,2017,NA,Fish,NA,NA
P_0188,2015,NA,Fish,NA,NA
P_0190,2019,NA,Fish,NA,NA
P_0198,2017,NA,Fish,NA,NA
P_0201,2018,NA,Fish,NA,NA
P_0204,2015,NA,Fish,NA,NA
P_0206,2012,NA,Fish,NA,NA
